event,timestamp,button,finger,word
WORD_NEXT,1675349744314,None,None,51063 Koeln
TRIAL_START,1675349744314,None,None,None
CHAR_SELECTED,1675349746406,2,3,None
CHAR_SELECTED,1675349746511,3,4,None
CHAR_SELECTED,1675349746650,4,4,None
CHAR_SELECTED,1675349747011,5,4,None
CHAR_CLICKED,1675349750246,5,None,None
CHAR_SELECTED,1675349751499,4,3,None
CHAR_SELECTED,1675349751567,3,3,None
CHAR_SELECTED,1675349751708,2,4,None
CHAR_SELECTED,1675349752637,1,4,None
CHAR_CLICKED,1675349754013,1,None,None
CHAR_SELECTED,1675349755133,2,4,None
CHAR_SELECTED,1675349755159,3,4,None
CHAR_SELECTED,1675349755264,4,3,None
CHAR_SELECTED,1675349755341,5,3,None
CHAR_SELECTED,1675349755438,6,3,None
CHAR_SELECTED,1675349755534,7,3,None
CHAR_SELECTED,1675349755603,8,2,None
CHAR_SELECTED,1675349757158,9,3,None
CHAR_SELECTED,1675349757257,0,3,None
CHAR_CLICKED,1675349759179,0,None,None
CHAR_SELECTED,1675349760387,9,3,None
CHAR_SELECTED,1675349760450,8,3,None
CHAR_SELECTED,1675349760517,7,4,None
CHAR_SELECTED,1675349760628,6,4,None
CHAR_CLICKED,1675349762118,6,None,None
CHAR_SELECTED,1675349765151,5,3,None
CHAR_SELECTED,1675349765286,4,4,None
CHAR_SELECTED,1675349765423,3,4,None
CHAR_CLICKED,1675349767135,3,None,None
CHAR_SELECTED,1675349768274,2,3,None
CHAR_SELECTED,1675349768348,1,3,None
CHAR_SELECTED,1675349768412,ENTER,3,None
CHAR_SELECTED,1675349768552,SPACE,4,None
CHAR_SELECTED,1675349769135,ENTER,4,None
CHAR_SELECTED,1675349770278,SPACE,3,None
CHAR_CLICKED,1675349771729,SPACE,None,None
CHAR_SELECTED,1675349773969,Z,3,None
CHAR_SELECTED,1675349774031,Y,3,None
CHAR_SELECTED,1675349774096,X,3,None
CHAR_SELECTED,1675349774232,W,4,None
CHAR_SELECTED,1675349774704,V,3,None
CHAR_SELECTED,1675349774770,U,3,None
CHAR_SELECTED,1675349774865,T,4,None
CHAR_SELECTED,1675349774960,S,4,None
CHAR_SELECTED,1675349775128,R,4,None
CHAR_SELECTED,1675349776572,S,3,None
CHAR_SELECTED,1675349776634,T,3,None
CHAR_SELECTED,1675349776764,U,2,None
CHAR_SELECTED,1675349777427,T,3,None
CHAR_SELECTED,1675349777491,S,3,None
CHAR_SELECTED,1675349777553,R,4,None
CHAR_SELECTED,1675349777624,Q,4,None
CHAR_SELECTED,1675349778040,P,3,None
CHAR_SELECTED,1675349778067,O,3,None
CHAR_SELECTED,1675349778084,N,3,None
